date,rate4week,rate52week
2015-01-02,0.02,0.22
2015-01-05,0.02,0.23
2015-01-06,0.02,0.25
2015-01-07,0.02,0.25
2015-01-08,0.01,0.23
2015-01-09,0.02,0.21
2015-01-12,0.02,0.18
2015-01-13,0.02,0.19
2015-01-14,0.02,0.17
2015-01-15,0.03,0.15
2015-01-16,0.02,0.16
2015-01-20,0.01,0.16
2015-01-21,0.01,0.16
2015-01-22,0.02,0.16
2015-01-23,0.02,0.16
2015-01-26,0.02,0.16
2015-01-27,0.02,0.15
2015-01-28,0.02,0.15
2015-01-29,0.01,0.15
2015-01-30,0.01,0.16
2015-02-02,0.01,0.15
2015-02-03,0.02,0.21
2015-02-04,0.01,0.2
2015-02-05,0.02,0.2
2015-02-06,0.01,0.25
2015-02-09,0.02,0.23
2015-02-10,0.02,0.24
2015-02-11,0.02,0.23
2015-02-12,0.02,0.22
2015-02-13,0.02,0.22
2015-02-17,0.02,0.23
2015-02-18,0.02,0.21
2015-02-19,0.02,0.21
2015-02-20,0.02,0.21
2015-02-23,0.01,0.2
2015-02-24,0.02,0.2
2015-02-25,0.02,0.19
2015-02-26,0.02,0.19
2015-02-27,0.02,0.19
2015-03-02,0.02,0.19
2015-03-03,0.01,0.26
2015-03-04,0.01,0.25
2015-03-05,0.02,0.24
2015-03-06,0.02,0.26
2015-03-09,0.01,0.26
2015-03-10,0.03,0.24
2015-03-11,0.03,0.24
2015-03-12,0.03,0.23
2015-03-13,0.03,0.23
2015-03-16,0.02,0.24
2015-03-17,0.05,0.25
2015-03-18,0.02,0.21
2015-03-19,0.02,0.24
2015-03-20,0,0.22
2015-03-23,0.02,0.22
2015-03-24,0.03,0.22
2015-03-25,0.02,0.23
2015-03-26,0.02,0.26
2015-03-27,0.02,0.25
2015-03-30,0.02,0.24
2015-03-31,0.05,0.26
2015-04-01,0.02,0.26
2015-04-02,0.02,0.24
2015-04-03,0.04,0.2
2015-04-06,0.02,0.2
2015-04-07,0.02,0.21
2015-04-08,0.02,0.21
2015-04-09,0.02,0.21
2015-04-10,0.01,0.23
2015-04-13,0.02,0.22
2015-04-14,0.02,0.22
2015-04-15,0.02,0.21
2015-04-16,0.03,0.2
2015-04-17,0.03,0.21
2015-04-20,0.03,0.22
2015-04-21,0.02,0.21
2015-04-22,0.01,0.21
2015-04-23,0.01,0.22
2015-04-24,0.03,0.22
2015-04-27,0.01,0.22
2015-04-28,-0.02,0.24
2015-04-29,-0.02,0.24
2015-04-30,-0.01,0.23
2015-05-01,0,0.24
2015-05-04,0.01,0.24
2015-05-05,0.01,0.23
2015-05-06,0.02,0.24
2015-05-07,0.01,0.23
2015-05-08,0.01,0.22
2015-05-11,0.02,0.23
2015-05-12,0.01,0.23
2015-05-13,0.02,0.22
2015-05-14,0,0.21
2015-05-15,0.02,0.21
2015-05-18,0.01,0.2
2015-05-19,0.02,0.2
2015-05-20,0.02,0.2
2015-05-21,0.02,0.19
2015-05-22,0.01,0.2
2015-05-26,0.01,0.21
2015-05-27,0.02,0.26
2015-05-28,0.01,0.25
2015-05-29,0.01,0.25
2015-06-01,0.02,0.25
2015-06-02,0.02,0.25
2015-06-03,0.02,0.25
2015-06-04,0.02,0.26
2015-06-05,0.02,0.27
2015-06-08,0.01,0.25
2015-06-09,0.01,0.25
2015-06-10,0.01,0.26
2015-06-11,0.01,0.26
2015-06-12,0.01,0.26
2015-06-15,0,0.25
2015-06-16,0,0.25
2015-06-17,0,0.24
2015-06-18,-0.01,0.23
2015-06-19,-0.01,0.22
2015-06-22,-0.02,0.24
2015-06-23,-0.01,0.29
2015-06-24,-0.01,0.29
2015-06-25,-0.01,0.28
2015-06-26,0,0.28
2015-06-29,-0.01,0.26
2015-06-30,0.02,0.27
2015-07-01,0.01,0.27
2015-07-02,0.01,0.25
2015-07-06,0.01,0.24
2015-07-07,0.02,0.23
2015-07-08,0.02,0.22
2015-07-09,0.02,0.23
2015-07-10,0.01,0.26
2015-07-13,0.02,0.25
2015-07-14,0.03,0.24
2015-07-15,0.03,0.25
2015-07-16,0.03,0.26
2015-07-17,0.03,0.26
2015-07-20,0.03,0.28
2015-07-21,0.04,0.33
2015-07-22,0.04,0.33
2015-07-23,0.04,0.32
2015-07-24,0.04,0.31
2015-07-27,0.04,0.31
2015-07-28,0.05,0.31
2015-07-29,0.05,0.32
2015-07-30,0.05,0.34
2015-07-31,0.04,0.31
2015-08-03,0.02,0.31
2015-08-04,0.05,0.35
2015-08-05,0.05,0.36
2015-08-06,0.04,0.33
2015-08-07,0.03,0.36
2015-08-10,0.02,0.37
2015-08-11,0.06,0.35
2015-08-12,0.06,0.35
2015-08-13,0.06,0.37
2015-08-14,0.04,0.38
2015-08-17,0.02,0.37
2015-08-18,0.05,0.41
2015-08-19,0.05,0.38
2015-08-20,0.01,0.38
2015-08-21,0.02,0.35
2015-08-24,0.02,0.32
2015-08-25,0.04,0.35
2015-08-26,0.03,0.34
2015-08-27,0.02,0.35
2015-08-28,0.02,0.36
2015-08-31,0,0.37
2015-09-01,0.01,0.37
2015-09-02,0.01,0.35
2015-09-03,0.02,0.34
2015-09-04,0.02,0.34
2015-09-08,0.02,0.36
2015-09-09,0.02,0.36
2015-09-10,0.02,0.36
2015-09-11,0.04,0.37
2015-09-14,0.02,0.37
2015-09-15,0,0.46
2015-09-16,-0.01,0.45
2015-09-17,-0.01,0.38
2015-09-18,-0.01,0.34
2015-09-21,-0.01,0.35
2015-09-22,-0.02,0.34
2015-09-23,-0.03,0.33
2015-09-24,-0.03,0.31
2015-09-25,-0.02,0.33
2015-09-28,-0.02,0.32
2015-09-29,-0.01,0.31
2015-09-30,-0.02,0.31
2015-10-01,-0.01,0.29
2015-10-02,-0.02,0.23
2015-10-05,-0.02,0.24
2015-10-06,-0.01,0.23
2015-10-07,0,0.24
2015-10-08,-0.01,0.24
2015-10-09,0.01,0.25
2015-10-13,0,0.24
2015-10-14,0,0.21
2015-10-15,0,0.21
2015-10-16,0.03,0.22
2015-10-19,0.07,0.22
2015-10-20,0.08,0.22
2015-10-21,0.01,0.22
2015-10-22,0.02,0.22
2015-10-23,0.01,0.23
2015-10-26,0.01,0.23
2015-10-27,0.01,0.27
2015-10-28,0.03,0.31
2015-10-29,0.02,0.31
2015-10-30,0.01,0.32
2015-11-02,0.01,0.34
2015-11-03,0.07,0.36
2015-11-04,0.07,0.37
2015-11-05,0.04,0.39
2015-11-06,0.04,0.43
2015-11-09,0.05,0.43
2015-11-10,0.08,0.5
2015-11-12,0.08,0.5
2015-11-13,0.03,0.49
2015-11-16,0.04,0.48
2015-11-17,0.07,0.48
2015-11-18,0.07,0.47
2015-11-19,0.06,0.47
2015-11-20,0.05,0.47
2015-11-23,0.05,0.48
2015-11-24,0.13,0.49
2015-11-25,0.14,0.49
2015-11-27,0.13,0.47
2015-11-30,0.1,0.48
2015-12-01,0.19,0.48
2015-12-02,0.19,0.49
2015-12-03,0.18,0.54
2015-12-04,0.17,0.57
2015-12-07,0.2,0.64
2015-12-08,0.23,0.74
2015-12-09,0.19,0.7
2015-12-10,0.19,0.69
2015-12-11,0.15,0.66
2015-12-14,0.12,0.66
2015-12-15,0.21,0.67
2015-12-16,0.2,0.68
2015-12-17,0.18,0.67
